docId,label,publicationDate,publisher,status.active,title,type,url,status.stabilized,status.superseded,status.supersededBy,status.amended,status.amendedBy,details,status.unknown,usage,status.draft,github,group,references.bibliographic,status.reaffirmDate,status.reaffirmed,status.withdrawn,status.withdrawnDate,relatedDocs,supersededBy,withdrawn,amended,amendedBy,references.normative,workInfo,status.supersededDate,status.amendedDate,status.statusNote,note,xmlNamespace,notes,reaffirmDate,reaffirmed
aaf,Advanced Authoring Format,2005-04-08T07:00:00.000Z,AMWA,true,Advanced Authoring Format (AAF) Edit Protocol ,Specification,https://e6cfd1ba-033d-44fd-8f16-0027ec40a7b2.filesusr.com/ugd/f66d69_ae65f49241334aa2b76af8b56a43ab82.pdf,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
ac-2e-1996,Applied Cryptography (2nd Ed),2015-10-06T07:00:00.000Z,Wiley,true,"Applied Cryptography, Second Edition: Protocols, Algorthms, and Source Code in C, 20th Anniversary Edition",Book,https://onlinelibrary.wiley.com/doi/book/10.1002/9781119183471,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
aes-r2-2004,AES-R2-2004 (s2012),2004-02-04T07:00:00.000Z,AES,true,AES project report for articles on professional audio and for equipment specifications — Notations for expressing levels (Revision of AES-R2-1998),Report,http://www.aes.org/publications/standards/search.cfm?docID=9,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
aes11-2003,AES11-2003,undefined,AES,false,AES recommended practice for digital audio engineering - Synchronization of digital audio equipment in studio operations.,Standard,http://www.aes.org/publications/standards/search.cfm?docID=18,undefined,true,"[""aes11-2009""]",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
aes11-2009,AES11-2009 (r2019),undefined,AES,true,AES recommended practice for digital audio engineering - Synchronization of digital audio equipment in studio operations. (Revision of AES11-2003),Standard,http://www.aes.org/publications/standards/search.cfm?docID=18,undefined,undefined,undefined,true,"[""aes11-2009ad1_2010""]",undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
aes11-2009ad1_2010,AES11-2009 (r2019) Addendum 2010-02-19,2019-07-05T07:00:00.000Z,AES,true,Addendum 2010-02-19 - AES recommended practice for digital audio engineering - Synchronization of digital audio equipment in studio operations. (Revision of AES11-2003) ,Standard,http://www.aes.org/publications/standards/search.cfm?docID=18,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
aes3-2003,AES3-2003,undefined,AES,false,AES standard for digital audio engineering - Serial transmission format for two-channel linearly represented digital audio data,Standard,http://www.aes.org/publications/standards/search.cfm?docID=13,undefined,true,"[""aes3-2009""]",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
aes3-2009,AES3-2009 (r2019),2015-01-09T07:00:00.000Z,AES,true,AES standard for digital audio engineering - Serial transmission format for two-channel linearly represented digital audio data,Standard,http://www.aes.org/publications/standards/search.cfm?docID=13,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
aes5-2003,AES5-2003,undefined,AES,false,AES recommended practice for professional digital audio - Preferred sampling frequencies for applications employing pulse-code modulation,Standard,http://www.aes.org/publications/standards/search.cfm?docID=14,undefined,true,"[""aes5-2008""]",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
aes5-2008,AES5-2008,undefined,AES,false,AES recommended practice for professional digital audio - Preferred sampling frequencies for applications employing pulse-code modulation (revision of AES5-2003),Standard,http://www.aes.org/publications/standards/search.cfm?docID=14,undefined,true,"[""aes5-2018""]",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
